Opcode,Format type,Format Value,Other field,Value,Operation,Sparc V8 Manual main description page,Sparc V8 Manual main description Chapter reference,Insn Category,Insn Category Index,Format Index,Processing Status,Privilege,Notes,"Register Type, if any",ASM Rator Syntax,Num Args,ASM Arg 1,ASM Arg 2,ASM Arg 3,ASM Arg 4,END
FiTOs,op3,110100,opf,11000100,Convert Integer to Single,140,B33,Floating Point,5,op45,raw,0,,ff,fitos,2,rs2=fprs2,rd=fprd,,,end
FiTOd,op3,110100,opf,11001000,Convert Integer to Double,140,B33,Floating Point,5,op45,raw,0,,ff,fitod,2,rs2=fprs2,rd=fprd,,,end
FiTOq,op3,110100,opf,11001100,Convert Integer to Quad,140,B33,Floating Point,5,op45,raw,0,,ff,fitoq,2,rs2=fprs2,rd=fprd,,,end
FsTOi,op3,110100,opf,11010001,Convert Single to Integer,140,B33,Floating Point,5,op45,raw,0,,ff,fstoi,2,rs2=fprs2,rd=fprd,,,end
FdTOi,op3,110100,opf,11010010,Convert Double to Integer,140,B33,Floating Point,5,op45,raw,0,,ff,fdtoi,2,rs2=fprs2,rd=fprd,,,end
FqTOi,op3,110100,opf,11010011,Convert Quad to Integer,140,B33,Floating Point,5,op45,raw,0,,ff,fqtoi,2,rs2=fprs2,rd=fprd,,,end
FsTOd,op3,110100,opf,11001001,Convert Single to Double,140,B33,Floating Point,5,op45,raw,0,,ff,fstod,2,rs2=fprs2,rd=fprd,,,end
FsTOq,op3,110100,opf,11001101,Convert Single to Quad,140,B33,Floating Point,5,op45,raw,0,,ff,fstoq,2,rs2=fprs2,rd=fprd,,,end
FdTOs,op3,110100,opf,11000110,Convert Double to Single,140,B33,Floating Point,5,op45,raw,0,,ff,fdtos,2,rs2=fprs2,rd=fprd,,,end
FdTOq,op3,110100,opf,11001110,Convert Double to Quad,140,B33,Floating Point,5,op45,raw,0,,ff,fdtoq,2,rs2=fprs2,rd=fprd,,,end
FqTOs,op3,110100,opf,11000111,Convert Quad to Single,140,B33,Floating Point,5,op45,raw,0,,ff,fqtos,2,rs2=fprs2,rd=fprd,,,end
FqTOd,op3,110100,opf,11001011,Convert Quad to Double,140,B33,Floating Point,5,op45,raw,0,,ff,fqtod,2,rs2=fprs2,rd=fprd,,,end
FMOVs,op3,110100,opf,1,Move,140,B33,Floating Point,5,op45,raw,0,,ff,fmovs,2,rs2=fprs2,rd=fprd,,,end
FNEGs,op3,110100,opf,101,Negate,140,B33,Floating Point,5,op45,raw,0,,ff,fnegs,2,rs2=fprs2,rd=fprd,,,end
FABSs,op3,110100,opf,1001,Absolute Value,140,B33,Floating Point,5,op45,raw,0,,ff,fabss,2,rs2=fprs2,rd=fprd,,,end
FSQRTs,op3,110100,opf,101001,Square Root Single,140,B33,Floating Point,5,op45,raw,0,,ff,fsqrts,2,rs2=fprs2,rd=fprd,,,end
FSQRTd,op3,110100,opf,101010,Square Root Double,140,B33,Floating Point,5,op45,raw,0,,ff,fsqrtd,2,rs2=fprs2,rd=fprd,,,end
FSQRTq,op3,110100,opf,101011,Square Root Quad,140,B33,Floating Point,5,op45,raw,0,,ff,fsqrtq,2,rs2=fprs2,rd=fprd,,,end
FADDs,op3,110100,opf,1000001,Add Single,140,B33,Floating Point,5,op33,raw,0,,fff,fadds,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FADDd,op3,110100,opf,1000010,Add Double,140,B33,Floating Point,5,op33,raw,0,,fff,faddd,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FADDq,op3,110100,opf,1000011,Add Quad,140,B33,Floating Point,5,op33,raw,0,,fff,faddq,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FSUBs,op3,110100,opf,1000101,Subtract Single,140,B33,Floating Point,5,op33,raw,0,,fff,fsubs,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FSUBd,op3,110100,opf,1000110,Subtract Double,140,B33,Floating Point,5,op33,raw,0,,fff,fsubd,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FSUBq,op3,110100,opf,1000111,Subtract Quad,140,B33,Floating Point,5,op33,raw,0,,fff,fsubq,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FMULs,op3,110100,opf,1001001,Multiply Single,140,B33,Floating Point,5,op33,raw,0,,fff,fmuls,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FMULd,op3,110100,opf,1001010,Multiply Double,140,B33,Floating Point,5,op33,raw,0,,fff,fmuld,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FMULq,op3,110100,opf,1001011,Multiply Quad,140,B33,Floating Point,5,op33,raw,0,,fff,fmulq,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FsMULd,op3,110100,opf,1101001,Multiply Single to Double,140,B33,Floating Point,5,op33,raw,0,,fff,fsmuld,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FdMULq,op3,110100,opf,1101110,Multiply Double to Quad,140,B33,Floating Point,5,op33,raw,0,,fff,fdmulq,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FDIVs,op3,110100,opf,1001101,Divide Single,140,B33,Floating Point,5,op33,raw,0,,fff,fdivs,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FDIVd,op3,110100,opf,1001110,Divide Double,140,B33,Floating Point,5,op33,raw,0,,fff,fdivd,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FDIVq,op3,110100,opf,1001111,Divide Quad,140,B33,Floating Point,5,op33,raw,0,,fff,fdivq,3,rs1=fprs1,rs2=fprs2,rd=fprd,,end
FCMPs,op3,110101,opf,1010001,Compare Single,140,B33,Floating Point,5,op46,raw,0,,ff ,fcmps,2,rs1=fprs1,rs2=fprs2,,,end
FCMPd,op3,110101,opf,1010010,Compare Double,140,B33,Floating Point,5,op46,raw,0,,ff ,fcmpd,2,rs1=fprs1,rs2=fprs2,,,end
FCMPq,op3,110101,opf,1010011,Compare Quad,140,B33,Floating Point,5,op46,raw,0,,ff ,fcmpq,2,rs1=fprs1,rs2=fprs2,,,end
FCMPEs,op3,110101,opf,1010101,Compare Single and Exception if Unordered,140,B33,Floating Point,5,op46,raw,0,,ff ,fcmpes,2,rs1=fprs1,rs2=fprs2,,,end
FCMPEd,op3,110101,opf,1010110,Compare Double and Exception if Unordered,140,B33,Floating Point,5,op46,raw,0,,ff ,fcmped,2,rs1=fprs1,rs2=fprs2,,,end
FCMPEq,op3,110101,opf,1010111,Compare Quad and Exception if Unordered,140,B33,Floating Point,5,op46,raw,0,,ff ,fcmpeq,2,rs1=fprs1,rs2=fprs2,,,end
