Format_Name,Num_Fields,Insn_Format,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Sum-Of-Lengths
op1,2,3,op,31,30,2,1,given,disp30,29,0,30,,range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
op22,4,3,op,31,30,2,0,given,rd,29,25,5,,generate,op2,24,22,3,,lookup,imm22,21,0,22,,range,,,,,,,,,,,,,,,,,,,,,,,,,32
op21,5,3,op,31,30,2,0,given,a,29,29,1,,generate,cond,28,25,4,,lookup,op2,24,22,3,,lookup,disp22,21,0,22,,range,,,,,,,,,,,,,,,,,,,32
op23,4,3,op,31,30,2,0,given,NONAME,29,25,5,0,given,op2,24,22,3,4,given,imm22,21,0,22,0,given,,,,,,,,,,,,,,,,,,,,,,,,,32
op25,4,3,op,31,30,2,0,given,RES,29,25,5,0,given,op2,24,22,3,0,given,const22,21,0,22,0,range,,,,,,,,,,,,,,,,,,,,,,,,,32
op31,7,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,asi,12,5,8,,generate,rs2,4,0,5,,generate,,,,,,,32
op32,6,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,1,given,simm13,12,0,13,,range,,,,,,,,,,,,,32
op33,6,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,opf,13,5,9,,lookup,rs2,4,0,5,,generate,,,,,,,,,,,,,32
op34,7,3,op,31,30,2,3,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,asi,12,5,8,,range,rs2,4,0,5,,generate,,,,,,,32
op35,6,3,op,31,30,2,3,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,1,given,simm13,12,0,13,,range,,,,,,,,,,,,,32
op36,6,3,op,31,30,2,3,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,opf,13,5,9,,lookup,rs2,4,0,5,,generate,,,,,,,,,,,,,32
op37,8,3,op,31,30,2,2,given,a,29,29,1,0,set,cond,28,25,4,,lookup,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,RES,12,5,8,0,set,rs2,4,0,5,,generate,32
op38,8,3,op,31,30,2,2,given,a,29,29,1,0,set,cond,28,25,4,,lookup,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,1,given,RES,12,7,6,0,set,imm7,6,0,7,,range,32
op39,6,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,opc,13,5,9,,range,rs2,4,0,5,,generate,,,,,,,,,,,,,32
op30,6,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,opc,13,5,9,,range,rs2,4,0,5,,generate,,,,,,,,,,,,,32
op40,7,3,op,31,30,2,3,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,UNUSED,12,5,8,0,given,rs2,4,0,5,,generate,,,,,,,32
op41,5,2,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,simm13,13,0,14,,range,,,,,,,,,,,,,,,,,,,32
op42,5,2,op,31,30,2,2,given,rd,29,25,5,0,given,op3,24,19,6,0x28,given,rs1,18,14,5,0x0F,given,UNUSED,13,0,14,0,given,,,,,,,,,,,,,,,,,,,32
op43,7,3,op,31,30,2,2,given,UNUSED,29,25,5,0,given,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,UNUSED,12,5,8,0,given,rs2,4,0,5,,generate,,,,,,,32
op44,6,3,op,31,30,2,2,given,UNUSED,29,25,5,0,given,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,1,given,simm13,12,0,13,,range,,,,,,,,,,,,,32
op45,6,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,0,given,opf,13,5,9,,lookup,rs2,4,0,5,,generate,,,,,,,,,,,,,32
op46,6,3,op,31,30,2,2,given,rd,29,25,5,0,given,op3,24,19,6,,lookup,rs1,18,14,5,,generate,opf,13,5,9,,lookup,rs2,4,0,5,,generate,,,,,,,,,,,,,32
